Gyro x,Gyro y,Gyro z,Accelerometer x,Accelerometer y,Accelerometer z,Current time
15.8691,-14.2212,-16.2964,0.1428,0.0498,1.0063,3554
101.9897,-76.2939,48.3398,0.139,0.0482,0.9434,3569
72.0825,-106.4453,9.8267,0.1328,0.0302,0.9657,3585
7.6294,-3.3569,-4.3945,0.1224,0.0342,0.9562,3600
5.4932,-3.3569,-3.7842,0.108,0.0455,0.9664,3615
2.3804,-3.9673,-0.6714,0.1084,0.048,0.9724,3631
0.9766,-4.5776,1.0986,0.1256,0.0516,1.0022,3646
-2.7466,-3.8452,3.7842,0.1584,0.0546,1.0365,3662
-3.2959,-2.2583,3.9062,0.1703,0.0493,1.0385,3677
-0.8545,-0.061,1.0986,0.1803,0.0485,1.0188,3693
1.2207,-1.2817,-2.5024,0.1746,0.0452,1.0137,3709
3.54,-1.5869,-4.3335,0.1538,0.051,0.9954,3724
3.6011,-2.7466,-5.4321,0.1313,0.0323,0.9834,3740
3.9673,-4.2725,-5.4321,0.1251,0.0288,0.9885,3755
3.6621,-4.5776,-4.4556,0.1174,0.0305,1.0131,3771
2.8076,-0.9155,-2.1362,0.1158,0.0376,1.0128,3786
1.4648,0.7324,-0.4272,0.127,0.0494,0.9847,3802
-2.1362,-0.9155,2.3193,0.1533,0.0448,0.9652,3817
-3.8452,-3.2349,2.6245,0.1627,0.0382,0.9736,3833
-2.1973,-6.4087,-0.3052,0.1731,0.0314,1.0122,3848
2.6245,-3.418,-4.2725,0.1664,0.0316,1.0239,3864
4.5166,-1.0986,-5.3711,0.1324,0.0399,0.9958,3879
3.6011,0.1831,-4.0894,0.11,0.0443,0.9541,3895
1.1597,-1.2817,-2.1362,0.111,0.0459,0.9503,3910
-3.479,-4.4556,1.709,0.1288,0.0499,0.9758,3926
-0.7935,-3.7842,1.3428,0.1384,0.0399,0.9917,3941
0.3052,-2.8076,0.4272,0.1543,0.0469,0.9995,3957
2.4414,-1.5869,-1.709,0.1522,0.0651,0.9847,3972
2.8076,-2.1362,-2.6245,0.1472,0.0367,0.9857,3988
2.8687,-4.5776,-2.9297,0.1478,0.0389,1.0074,4003
3.3569,-3.6621,-2.6245,0.1494,0.0374,1.0238,4019
4.0283,-1.8921,-2.6855,0.1484,0.0398,1.0225,4034
3.7231,0.3662,-2.6245,0.1406,0.0312,1.0002,4050
4.8218,0.061,-2.6855,0.1395,0.0366,0.9908,4065
3.479,-1.2207,-1.9531,0.137,0.0325,0.9861,4081
1.6479,-2.7466,-1.0986,0.1377,0.033,0.9938,4096
1.5259,-2.2583,-0.7935,0.1414,0.0398,1.0031,4112
-0.3662,-0.7935,-0.1831,0.1501,0.0415,0.9938,4127
-0.4272,-0.8545,-0.3662,0.1495,0.0377,0.9884,4143
2.8687,-2.0752,-2.0142,0.1436,0.0289,0.9871,4158
2.9907,-3.7231,-2.0752,0.1421,0.031,0.9907,4174
2.0142,-3.7231,-1.2207,0.1401,0.0339,1.0093,4190
1.3428,-1.5259,-0.2441,0.1432,0.0392,1.0066,4205
1.5259,-0.3662,-0.1221,0.1436,0.0348,0.9994,4221
3.7231,-1.0376,-0.3052,0.1541,0.045,1.0088,4236
1.0376,-0.9155,0.3662,0.1561,0.0452,1.0192,4252
0.3052,-0.3052,0,0.161,0.0438,1.0099,4267
0.2441,-0.9766,-1.2207,0.1555,0.0378,0.9833,4282
